ticker,currency,company_name,exchange,exchange_short,timezone
BTEE.L,USD,ISHS IV/SHS CL-USD (DIST),London Stock Exchange,LSE,Europe/London
XBAK.L,USD,XTRACKERS MSCI PAK/USD,London Stock Exchange,LSE,Europe/London
MLPD.L,USD,INVESCO MKT/SHS CL-B USD,London Stock Exchange,LSE,Europe/London
ISDW.L,USD,ISHS II/SHS USD,London Stock Exchange,LSE,Europe/London
CXAU.L,USD,UBS ETFS PLC/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
LXUU.L,USD,UBS London/ETC Perp Othr,London Stock Exchange,LSE,Europe/London
EMUU.L,USD,ISHS VII/SHS USD,London Stock Exchange,LSE,Europe/London
CIND.L,USD,CS ETF/SHS USD,London Stock Exchange,LSE,Europe/London
IFSU.L,USD,ISHS IV/SHS USD,London Stock Exchange,LSE,Europe/London
XDWM.L,USD,XTRACK/SHS CL-1C USD,London Stock Exchange,LSE,Europe/London
ASIU.L,USD,M.U.L.-LYXOR CHI.EN/EUR,London Stock Exchange,LSE,Europe/London
N400.L,USD,INVESCO MKT/SHS CL-A JPY,London Stock Exchange,LSE,Europe/London
JPEA.L,USD,ISHS II/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
BCOM.L,USD,LEG&GEN UCITS/SHS ETF ACCUM USD,London Stock Exchange,LSE,Europe/London
AIGC.L,USD,ETFS COMM/ALL COMMODITIES,London Stock Exchange,LSE,Europe/London
CMXC.L,USD,CS ETF/SHS USD,London Stock Exchange,LSE,Europe/London
IRSA.L,USD,ISHS III/SHS USD,London Stock Exchange,LSE,Europe/London
SP5C.L,USD,MULTI UN.LUX-LY.S+P/EUR,London Stock Exchange,LSE,Europe/London
UB30.L,USD,UBS-ETF MSCI EM.MKT/USD,London Stock Exchange,LSE,Europe/London
SOYO.L,USD,ETFS COMM/SOYBEAN OIL,London Stock Exchange,LSE,Europe/London
DEMR.L,USD,WISDOMTREE ISSU/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
IWVL.L,USD,ISHS IV/SHS USD,London Stock Exchange,LSE,Europe/London
JPX4.L,USD,LYX. JPX-N.400 (DR)/EUR,London Stock Exchange,LSE,Europe/London
GDIG.L,USD,VANECK VECT/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
ADAM.L,USD,Adamas Finance Asia Ltd,London Stock Exchange,LSE,Europe/London
XDWU.L,USD,XTRACK/SHS CL-1C USD,London Stock Exchange,LSE,Europe/London
ELLE.L,USD,LYX.GLOBAL GENDER E/USD,London Stock Exchange,LSE,Europe/London
WCOA.L,USD,WISDOMTREE ISSU/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
WESG.L,USD,MULTI UN.L.-LYXOR/USD,London Stock Exchange,LSE,Europe/London
HZAD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
EMHD.L,USD,POWERSHARES/SHS USD,London Stock Exchange,LSE,Europe/London
DGRA.L,USD,WISDOMTREE ISSU/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
HSPD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
XLFS.L,USD,INVESCO MKT/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
GEF.L,USD,FUNDLOGIC/SHS USD,London Stock Exchange,LSE,Europe/London
ACWD.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
XBCU.L,USD,XTRACKERS DBLCI.C.O/USD,London Stock Exchange,LSE,Europe/London
XDNU.L,USD,CONCEPT/SHS CL-4C USD,London Stock Exchange,LSE,Europe/London
CORE.L,USD,LEG&GEN UCITS/SHS ETF DIS USD,London Stock Exchange,LSE,Europe/London
LNEY.L,USD,ETFS COMM/2X DAILY LONG EX-ENER,London Stock Exchange,LSE,Europe/London
AGGU.L,USD,ISHARES III/SHS CL-ACC USD,London Stock Exchange,LSE,Europe/London
PHPT.L,USD,ETFS META/ETFS PHYSICAL PLATINUM,London Stock Exchange,LSE,Europe/London
NVD2.L,USD,LEV/ETP 2X NVIDIA 20671231,London Stock Exchange,LSE,Europe/London
CATL.L,USD,ETFS COMM/LIVE CATTLE,London Stock Exchange,LSE,Europe/London
HMJD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
RIOU.L,USD,M.U.L.-LYXOR MSCI/EUR,London Stock Exchange,LSE,Europe/London
UC67.L,USD,UBS-ETF MSCI USA/USD,London Stock Exchange,LSE,Europe/London
FJPU.L,USD,1ST TR GB/SHS CL-A JPY,London Stock Exchange,LSE,Europe/London
IDUP.L,USD,ISHS II/SHS USD,London Stock Exchange,LSE,Europe/London
XLES.L,USD,INVESCO MKT/SHS CL-A USD,London Stock Exchange,LSE,Europe/London
DJEU.L,USD,LYX UC D J INDU/CIV,London Stock Exchange,LSE,Europe/London
XMUJ.L,USD,XTRACKERS MSCI JAPA/USD,London Stock Exchange,LSE,Europe/London
LQDA.L,USD,ISHS/SHS CL-ACCUMG USD,London Stock Exchange,LSE,Europe/London
JAR.L,USD,Jardine Matheson Holdings Limited,London Stock Exchange,LSE,Europe/London
2PAL.L,USD,BST/ASST BKD 20621130 PALL 2X LV,London Stock Exchange,LSE,Europe/London
HEAF.L,USD,ETFS COMM/LONGER DATED HEATING,London Stock Exchange,LSE,Europe/London
IBM.L,USD,IBM Common Stock,London Stock Exchange,LSE,Europe/London
